Pais,Encuesta,access_right,Ronda armonizada BID,Total,year,availability
ARG,EPHP,NA,m10,11,1986,NA
ARG,EPHP,NA,m10,11,1989,NA
ARG,EPHP,NA,m10,11,1990,NA
ARG,EPHP,NA,m10,11,1991,NA
ARG,EPHP,NA,m10,11,1992,1
ARG,EPHP,NA,m10,11,1993,1
ARG,EPHP,NA,m10,11,1994,1
ARG,EPHP,NA,m10,11,1995,1
ARG,EPHP,NA,m10,11,1996,1
ARG,EPHP,NA,m10,11,1997,1
ARG,EPHP,NA,m10,11,1998,1
ARG,EPHP,NA,m10,11,1999,1
ARG,EPHP,NA,m10,11,2000,1
ARG,EPHP,NA,m10,11,2001,1
ARG,EPHP,NA,m10,11,2002,1
ARG,EPHP,NA,m10,11,2003,NA
ARG,EPHP,NA,m10,11,2004,NA
ARG,EPHP,NA,m10,11,2005,NA
ARG,EPHP,NA,m10,11,2006,NA
ARG,EPHP,NA,m10,11,2007,NA
ARG,EPHP,NA,m10,11,2008,NA
ARG,EPHP,NA,m10,11,2009,NA
ARG,EPHP,NA,m10,11,2010,NA
ARG,EPHP,NA,m10,11,2011,NA
ARG,EPHP,NA,m10,11,2012,NA
ARG,EPHP,NA,m10,11,2013,NA
ARG,EPHP,NA,m10,11,2014,NA
ARG,EPHP,NA,m10,11,2015,NA
ARG,EPHP,NA,m10,11,2016,NA
ARG,EPHP,NA,m10,11,2017,NA
ARG,EPHP,NA,m10,11,2018,NA
ARG,EPHP,NA,m10,11,2019,NA
ARG,EPHP,NA,m10,11,2020,NA
ARG,EPHP,NA,m10,11,2021,NA
ARG,EPHP,NA,m10,11,2022,NA
ARG,EPHC,public,s2,18,1986,NA
ARG,EPHC,public,s2,18,1989,NA
ARG,EPHC,public,s2,18,1990,NA
ARG,EPHC,public,s2,18,1991,NA
ARG,EPHC,public,s2,18,1992,NA
ARG,EPHC,public,s2,18,1993,NA
ARG,EPHC,public,s2,18,1994,NA
ARG,EPHC,public,s2,18,1995,NA
ARG,EPHC,public,s2,18,1996,NA
ARG,EPHC,public,s2,18,1997,NA
ARG,EPHC,public,s2,18,1998,NA
ARG,EPHC,public,s2,18,1999,NA
ARG,EPHC,public,s2,18,2000,NA
ARG,EPHC,public,s2,18,2001,NA
ARG,EPHC,public,s2,18,2002,NA
ARG,EPHC,public,s2,18,2003,1
ARG,EPHC,public,s2,18,2004,1
ARG,EPHC,public,s2,18,2005,1
ARG,EPHC,public,s2,18,2006,1
ARG,EPHC,public,s2,18,2007,1
ARG,EPHC,public,s2,18,2008,1
ARG,EPHC,public,s2,18,2009,1
ARG,EPHC,public,s2,18,2010,1
ARG,EPHC,public,s2,18,2011,1
ARG,EPHC,public,s2,18,2012,1
ARG,EPHC,public,s2,18,2013,1
ARG,EPHC,public,s2,18,2014,1
ARG,EPHC,public,s2,18,2015,NA
ARG,EPHC,public,s2,18,2016,1
ARG,EPHC,public,s2,18,2017,1
ARG,EPHC,public,s2,18,2018,1
ARG,EPHC,public,s2,18,2019,1
ARG,EPHC,public,s2,18,2020,1
ARG,EPHC,public,s2,18,2021,1
ARG,EPHC,public,s2,18,2022,1
ARG,EPHC,public,s1,1,1986,NA
ARG,EPHC,public,s1,1,1989,NA
ARG,EPHC,public,s1,1,1990,NA
ARG,EPHC,public,s1,1,1991,NA
ARG,EPHC,public,s1,1,1992,NA
ARG,EPHC,public,s1,1,1993,NA
ARG,EPHC,public,s1,1,1994,NA
ARG,EPHC,public,s1,1,1995,NA
ARG,EPHC,public,s1,1,1996,NA
ARG,EPHC,public,s1,1,1997,NA
ARG,EPHC,public,s1,1,1998,NA
ARG,EPHC,public,s1,1,1999,NA
ARG,EPHC,public,s1,1,2000,NA
ARG,EPHC,public,s1,1,2001,NA
ARG,EPHC,public,s1,1,2002,NA
ARG,EPHC,public,s1,1,2003,NA
